***********************************************************
 Czas           Środek         Powierzchnia   dT           
 130.817610062  103.255138764  148.240520194  44.9853814293
 131.935709294  103.346146093  148.384343308  45.0381972146
 133.053808525  103.438259416  148.527243305  45.0889838894
 134.171907756  103.531465135  148.669233338  45.1377682033
 135.290006988  103.625749566  148.810326277  45.1845767112
 136.408106219  103.721098955  148.950534724  45.2294357696
 137.526205450  103.817499483  149.089871016  45.2723715328
 138.644304682  103.914937283  149.228347233  45.3134099499
 139.762403913  104.013398447  149.365975208  45.3525767614
 140.880503144  104.112869035  149.502766532  45.3898974965
 141.998602375  104.213335090  149.638732560  45.4253974701
 143.116701607  104.314782639  149.773884420  45.4591017808
 144.234800838  104.417197708  149.908233016  45.4910353079
 145.352900069  104.520566328  150.041789037  45.5212227098
 146.470999301  104.624874540  150.174562962  45.5496884218
 147.589098532  104.730108408  150.306565063  45.5764566546
 148.707197763  104.836254022  150.437805415  45.6015513924
 149.825296995  104.943297505  150.568293897  45.6249963918
 150.943396226  105.051225020  150.698040200  45.6468151804
 152.061495457  105.160022776  150.827053832  45.6670310558
 153.179594689  105.269677033  150.955344118  45.6856670848
 154.297693920  105.380174109  151.082920211  45.7027461024
 155.415793151  105.491500382  151.209791094  45.7182907114
 156.533892382  105.603642298  151.335965580  45.7323232819
 157.651991614  105.716586373  151.461452323  45.7448659509
 158.770090845  105.830319197  151.586259819  45.7559406221
 159.888190076  105.944827442  151.710396409  45.7655689662
 161.006289308  106.060097861  151.833870281  45.7737724202
 162.124388539  106.176117292  151.956689481  45.7805721883
 163.242487770  106.292872665  152.078861906  45.7859892418
 164.360587002  106.410350999  152.200395319  45.7900443197
 165.478686233  106.528539412  152.321297341  45.7927579289
 166.596785464  106.647425117  152.441575462  45.7941503451
 167.714884696  106.766995428  152.561237041  45.7942416131
 168.832983927  106.887237762  152.680289310  45.7930515481
 169.951083158  107.008139640  152.798739376  45.7905997360
 171.069182389  107.129688689  152.916594224  45.7869055346
 172.187281621  107.251872645  153.033860720  45.7819880747
 173.305380852  107.374679353  153.150545614  45.7758662609
 174.423480083  107.498096769  153.266655542  45.7685587728
 175.541579315  107.622112962  153.382197029  45.7600840666
